,date,date_jd,ra,dec,lon,lat,lonR,latR
0,2029-Apr-13 13:30,2462240.0625,20.177009999999996,23.946020000000004,-114.59019380787052,-25.094418229911945,-6.118579023454174,-25.097152333503313
1,2029-Apr-13 13:35,2462240.065972222,20.054650000000006,23.87547,-114.4535823100102,-25.04776926127681,-7.07775950159504,-25.050488007359064
2,2029-Apr-13 13:40,2462240.069444444,19.93009,23.803460000000005,-114.31446551013113,-25.000088033278185,-8.034433807341486,-25.002790750330636
3,2029-Apr-13 13:45,2462240.072916667,19.803269999999983,23.72997,-114.17277957607112,-24.951365481287258,-8.988538370106085,-24.954051510957985
4,2029-Apr-13 13:50,2462240.076388889,19.674129999999984,23.65493,-114.0284496237237,-24.901543523649714,-9.939997684420746,-24.904212217227105
5,2029-Apr-13 13:55,2462240.079861111,19.54260999999999,23.57832,-113.88141183696399,-24.85061302347336,-10.888748197303585,-24.85326374623819
6,2029-Apr-13 14:00,2462240.083333333,19.40862999999998,23.500060000000005,-113.73156937909374,-24.798509689311253,-11.834693037701072,-24.801141816876342
7,2029-Apr-13 14:05,2462240.086805556,19.27212,23.42012,-113.57884635322043,-24.74521633520372,-12.777756572161422,-24.747829257553903
8,2029-Apr-13 14:10,2462240.090277778,19.133029999999994,23.338439999999995,-113.42318007112527,-24.690682669872764,-13.717875495753674,-24.69327578885445
9,2029-Apr-13 14:15,2462240.09375,18.991260000000004,23.25496,-113.26445837430748,-24.634867515851283,-14.654937911015168,-24.637440247152988
10,2029-Apr-13 14:20,2462240.097222222,18.846749999999993,23.169620000000002,-113.10260873818356,-24.57772230736656,-15.588871265308,-24.580274079721697
11,2029-Apr-13 14:25,2462240.100694444,18.699399999999994,23.082370000000004,-112.937521240526,-24.519215547293815,-16.519565605902358,-24.521745804930923
12,2029-Apr-13 14:30,2462240.104166667,18.549150000000004,22.993129999999997,-112.76911904902371,-24.45927894914189,-17.446944367404456,-24.461787148696903
13,2029-Apr-13 14:35,2462240.107638889,18.39590000000001,22.90184,-112.59729012367018,-24.397871081290166,-18.37089489306777,-24.40035669505122
14,2029-Apr-13 14:40,2462240.111111111,18.23956000000002,22.80844,-112.42193236228704,-24.334948605633166,-19.29131534775263,-24.337411121620562
15,2029-Apr-13 14:45,2462240.114583333,18.080029999999976,22.71284,-112.2429272549756,-24.2704405314191,-20.20808719352442,-24.27287945201671
16,2029-Apr-13 14:50,2462240.118055556,17.917219999999972,22.61497,-112.06017062645026,-24.20429355012113,-21.12110652390089,-24.20670839361769
17,2029-Apr-13 14:55,2462240.121527778,17.751019999999993,22.514750000000003,-111.87353634797955,-24.13644811575265,-22.03024659611333,-24.138838416776668
18,2029-Apr-13 15:00,2462240.125,17.581339999999997,22.412110000000002,-111.68292036430998,-24.066850725469628,-22.935403626050913,-24.069216035392447
19,2029-Apr-13 15:05,2462240.128472222,17.408050000000003,22.30694,-111.48817033893036,-23.995415867938874,-23.836425250294667,-23.997755753984265
20,2029-Apr-13 15:10,2462240.131944444,17.231040000000004,22.199160000000003,-111.28916036381082,-23.92208365976468,-24.733185538334,-23.924397706823566
21,2029-Apr-13 15:15,2462240.135416667,17.05019999999998,22.08868,-111.08576245824358,-23.846784287391216,-25.6255567817189,-23.849072097747655
22,2029-Apr-13 15:20,2462240.138888889,16.86537999999999,21.97538,-110.87780255988932,-23.76942568423777,-26.513364305193306,-23.771686877515673
23,2029-Apr-13 15:25,2462240.142361111,16.67646999999998,21.85918,-110.66515505675298,-23.689947543821276,-27.39648277223432,-23.692181758579387
24,2029-Apr-13 15:30,2462240.145833333,16.483329999999995,21.739950000000004,-110.44765392056877,-23.608245846249588,-28.274746132688165,-23.61045273826781
25,2029-Apr-13 15:35,2462240.149305556,16.28580999999999,21.617580000000004,-110.2251276256078,-23.524237817670944,-29.147983134475908,-23.52641706207546
26,2029-Apr-13 15:40,2462240.152777778,16.08375000000001,21.491940000000003,-109.99739057726487,-23.437822692782706,-30.016007574716014,-23.43997398363496
27,2029-Apr-13 15:45,2462240.15625,15.877019999999993,21.36292,-109.76429145824017,-23.348913641419028,-30.878668414456683,-23.35103669223711
28,2029-Apr-13 15:50,2462240.159722222,15.665429999999978,21.230370000000004,-109.52561094820962,-23.257395292188942,-31.735746312812296,-23.25948983620244
29,2029-Apr-13 15:55,2462240.163194444,15.448820000000016,21.094160000000002,-109.28116403979016,-23.163166168302418,-32.587056246828524,-23.165231958981973
30,2029-Apr-13 16:00,2462240.166666667,15.227000000000007,20.95412,-109.03072763778806,-23.066090733061497,-33.43237539717387,-23.068127543322515
31,2029-Apr-13 16:05,2462240.170138889,14.9998,20.81012000000001,-108.77410729521972,-22.966068743322978,-34.27150871618511,-22.968076367563434
32,2029-Apr-13 16:10,2462240.173611111,14.76701,20.66197,-108.51105636845048,-22.862948028963455,-35.10420983727249,-22.864926281529872
33,2029-Apr-13 16:15,2462240.177083333,14.528410000000004,20.50951,-108.24132491151937,-22.75660728411311,-35.930228800288546,-22.758556001865113
34,2029-Apr-13 16:20,2462240.180555556,14.283809999999995,20.35255,-107.96468693261116,-22.646889935417846,-36.749339895774256,-22.6488089752694
35,2029-Apr-13 16:25,2462240.184027778,14.032960000000012,20.19089,-107.68085499151749,-22.53364002083932,-37.56125508146857,-22.53552926200479
36,2029-Apr-13 16:30,2462240.1875,13.77562000000001,20.02434,-107.38955415125508,-22.41670908720288,-38.365699703383484,-22.418568431717727
37,2029-Apr-13 16:35,2462240.190972222,13.51154,19.85267,-107.09049168415797,-22.295910705001397,-39.162381022504235,-22.29774007636921
38,2029-Apr-13 16:40,2462240.194444444,13.24046000000002,19.67565,-106.7833654937026,-22.17105966193435,-39.95099693251632,-22.1728590059223
39,2029-Apr-13 16:45,2462240.197916667,12.962099999999984,19.49305,-106.46785416970948,-22.041973709042157,-40.73122630835013,-22.043742994798695
40,2029-Apr-13 16:50,2462240.201388889,12.676160000000001,19.304600000000004,-106.1436088007207,-21.908434225453544,-41.502719641156716,-21.91017344462973
41,2029-Apr-13 16:55,2462240.204861111,12.382319999999998,19.11002,-105.81025928303853,-21.770215575634367,-42.26510711235852,-21.771924743000223
42,2029-Apr-13 17:00,2462240.208333333,12.080270000000002,18.909049999999997,-105.4674504923232,-21.627109094427478,-43.01803359293547,-21.628788248722017
43,2029-Apr-13 17:05,2462240.211805556,11.769650000000013,18.70135,-105.11476201987631,-21.478835592812295,-43.761078959268104,-21.480484795110304
44,2029-Apr-13 17:10,2462240.215277778,11.450099999999985,18.48662,-104.75178276335654,-21.325154081759297,-44.49383151703222,-21.326773417621993
45,2029-Apr-13 17:15,2462240.21875,11.121240000000007,18.264510000000005,-104.37807273074574,-21.165776884853436,-45.215851563268586,-21.167366462902724
46,2029-Apr-13 17:20,2462240.222222222,10.782649999999979,18.034639999999996,-103.99314732924682,-21.000392698141187,-45.92665449963965,-21.001952650412086
47,2029-Apr-13 17:25,2462240.225694444,10.433909999999996,17.79663,-103.59652358681853,-20.828688760486244,-46.62575735163705,-20.83021924248799
48,2029-Apr-13 17:30,2462240.229166667,10.074559999999993,17.55006,-103.18767229767059,-20.650318536674895,-47.312631204043555,-20.65181972715663
49,2029-Apr-13 17:35,2462240.232638889,9.704109999999991,17.294499999999996,-102.76603425976862,-20.464929198093632,-47.98671626493393,-20.46640129968519
50,2029-Apr-13 17:40,2462240.236111111,9.322049999999988,17.02947,-102.33102259351836,-20.272120333694453,-48.64742594666251,-20.27356357133132
51,2029-Apr-13 17:45,2462240.239583333,8.927829999999993,16.75446,-101.88200704586927,-20.07146689451334,-49.29412999439387,-20.072881515445125
52,2029-Apr-13 17:50,2462240.243055556,8.520879999999991,16.468950000000003,-101.41833827077284,-19.862535040201227,-49.92617935642073,-19.863921313879707
53,2029-Apr-13 17:55,2462240.246527778,8.100580000000003,16.17236,-100.93930834435344,-19.644837981939606,-50.54286552021739,-19.646196198930088
54,2029-Apr-13 18:00,2462240.25,7.6662900000000125,15.864090000000001,-100.44418912505768,-19.417869660787893,-51.143460639407635,-19.41920013193085
55,2029-Apr-13 18:05,2462240.253472222,7.2172899999999975,15.54348,-99.93216482947037,-19.18107554215732,-51.72714892962489,-19.182378598255166
56,2029-Apr-13 18:10,2462240.256944444,6.752859999999992,15.20983,-99.40241675422874,-18.93385780087992,-52.29311168915251,-18.935133789960684
57,2029-Apr-13 18:15,2462240.260416667,6.272209999999996,14.862400000000001,-98.85405372112865,-18.675587068157014,-52.84045803485935,-18.6768363550444
58,2029-Apr-13 18:20,2462240.263888889,5.774489999999982,14.500399999999999,-98.28612091746595,-18.405590224528783,-53.368232567251255,-18.406813189357067
59,2029-Apr-13 18:25,2462240.267361111,5.258800000000009,14.122970000000002,-97.69760704995105,-18.12312830362259,-53.8754242876725,-18.124325338859144
60,2029-Apr-13 18:30,2462240.270833333,4.724189999999983,13.729200000000002,-97.08744915196513,-17.82741542020902,-54.360970230962664,-17.82858692800821
61,2029-Apr-13 18:35,2462240.274305556,4.1696300000000015,13.318120000000002,-96.45450169143044,-17.517613222058102,-54.82372515967984,-17.518759611772904
62,2029-Apr-13 18:40,2462240.277777778,3.5940199999999907,12.888680000000003,-95.79754422864761,-17.192808452541776,-55.26246804624674,-17.19393013661109
63,2029-Apr-13 18:45,2462240.28125,2.9961900000000083,12.43975,-95.11528299843513,-16.85201180004117,-55.67590541874199,-16.853109189136763
64,2029-Apr-13 18:50,2462240.284722222,2.374879999999982,11.970150000000002,-94.40633796214621,-16.494189526651958,-56.06265723781689,-16.495263025675968
65,2029-Apr-13 18:55,2462240.288194444,1.7287300000000032,11.47859,-93.66922383441567,-16.118204519299677,-56.421238214987795,-16.11925452069026
66,2029-Apr-13 19:00,2462240.291666667,1.0562999999999787,10.963699999999998,-92.90237793709377,-15.722840727846295,-56.75008596255219,-15.723867604050268
67,2029-Apr-13 19:05,2462240.295138889,0.3560299999999978,10.424009999999999,-92.10411903720575,-15.306788164766983,-57.04751865390273,-15.307792260005614
68,2029-Apr-13 19:10,2462240.298611111,359.62625,9.857949999999997,-91.27266043353728,-14.868638897552357,-57.311749874098155,-14.869620517593132
69,2029-Apr-13 19:15,2462240.302083333,358.86516,9.263860000000001,-90.40609499031927,-14.406897555539175,-57.54087247767234,-14.407856956545402
70,2029-Apr-13 19:20,2462240.305555556,358.07083,8.63996,-89.50239389463547,-13.919948679478743,-57.73285793301369,-13.920886053695705
71,2029-Apr-13 19:25,2462240.309027778,357.24118,7.984350000000001,-88.55939119431537,-13.406056431466778,-57.88553968410139,-13.40697189100505
72,2029-Apr-13 19:30,2462240.3125,356.37397,7.29504,-87.57478393734044,-12.863391712800857,-57.996615053905884,-12.864285271713637
73,2029-Apr-13 19:35,2462240.315972222,355.46677999999997,6.569910000000002,-86.54611131706497,-12.289991149651714,-58.063623212134246,-12.290862702002128
74,2029-Apr-13 19:40,2462240.319444444,354.51702,5.806720000000001,-85.47077329136488,-11.683759942120675,-58.0839640889489,-11.684609236360735
75,2029-Apr-13 19:45,2462240.322916667,353.52188,5.00316,-84.34599605541229,-11.042522817385878,-58.05486414096606,-11.043349429469384
76,2029-Apr-13 19:50,2462240.326388889,352.47836,4.156790000000001,-83.168861324435,-10.363952915534314,-57.97340445763899,-10.364756214711038
77,2029-Apr-13 19:55,2462240.329861111,351.38322,3.2651300000000005,-81.93628016160926,-9.645660185660596,-57.83649635242864,-9.646439299356619
78,2029-Apr-13 20:00,2462240.333333333,350.23296,2.3256200000000002,-80.64497781111879,-8.885145280882423,-57.6408650177234,-8.885899053162099
79,2029-Apr-13 20:05,2462240.336805556,349.02385,1.33569,-79.29154685743231,-8.079853565053202,-57.383103273416964,-8.080580510953977
80,2029-Apr-13 20:10,2462240.340277778,347.75186999999994,0.2928,-77.87240669928752,-7.227211315303876,-57.05962986214513,-7.227909571804216
81,2029-Apr-13 20:15,2462240.34375,346.41273,-0.8054900000000002,-76.38384861364574,-6.324678278408759,-56.66673627629899,-6.3253455514216625
82,2029-Apr-13 20:20,2462240.347222222,345.00185,-1.9614699999999996,-74.82203901717486,-5.369784618428909,-56.20058884087268,-5.3704181262758315
83,2029-Apr-13 20:25,2462240.350694444,343.51436,-3.17718,-73.18305066236928,-4.360212798430697,-55.657260201023746,-4.360809213956056
84,2029-Apr-13 20:30,2462240.354166667,341.94512,-4.4542600000000006,-71.46292029876844,-3.2939249242813156,-55.03278727478636,-3.2944803188177803
85,2029-Apr-13 20:35,2462240.357638889,340.2887,-5.79384,-69.65766061109912,-2.1692542397165626,-54.323182009325535,-2.169764030052882
86,2029-Apr-13 20:40,2462240.361111111,338.53947999999997,-7.196380000000001,-67.76339615124147,-0.9850301887515213,-53.5245690739539,-0.985489090859379
87,2029-Apr-13 20:45,2462240.364583333,336.69160999999997,-8.661430000000001,-65.77636672909381,0.2591997876531258,-52.63318806551558,0.25879778879670207
88,2029-Apr-13 20:50,2462240.368055556,334.73919,-10.18745,-63.69313450103874,1.563033198463917,-51.64560118143976,1.5626948616027652
89,2029-Apr-13 20:55,2462240.371527778,332.67625,-11.771609999999999,-61.510588207818614,2.9250297250039994,-50.55869626785636,2.9247625390024203
90,2029-Apr-13 21:00,2462240.375,330.49702999999994,-13.409479999999999,-59.2262402765723,4.342446960887396,-49.36998568283343,4.34225909258623
91,2029-Apr-13 21:05,2462240.378472222,328.19603,-15.094889999999998,-56.838261912674795,5.81111227113622,-48.07764019725437,5.811012473331889
92,2029-Apr-13 21:10,2462240.381944444,325.76836,-16.8197,-54.34579595394911,7.325223292675582,-46.680802141827996,7.325220759263625
93,2029-Apr-13 21:15,2462240.385416667,323.20995,-18.57371,-51.74908799907223,8.877256954367928,-45.179716822196326,8.877361121953507
94,2029-Apr-13 21:20,2462240.388888889,320.51794,-20.344630000000002,-49.049748726694816,10.457932653084555,-43.57599366792999,10.458152946522159
95,2029-Apr-13 21:25,2462240.392361111,317.69106,-22.11816,-46.25095278671171,12.056256331159803,-41.87280689848916,12.056601857125893
96,2029-Apr-13 21:30,2462240.395833333,314.73006,-23.878270000000004,-43.35762481560562,13.659736360772955,-40.07508038749961,13.660215564273777
97,2029-Apr-13 21:35,2462240.399305556,311.63818,-25.607620000000004,-40.37661230802365,15.254706807893445,-38.189661162922164,15.255327109063392
